id,price
1,205000
2,210000
3,215000
4,220000
5,225000
6,230000
7,235000
8,240000
9,245000
10,250000
11,255000
12,260000
13,265000
14,270000
15,275000
16,280000
17,285000
18,290000
19,295000
20,300000
21,305000
22,310000
23,315000
24,320000
25,325000
26,330000
27,335000
28,340000
29,345000
30,350000
31,355000
32,360000
33,365000
34,370000
35,375000
36,380000
37,385000
38,390000
39,395000
40,400000
41,405000
42,410000
43,415000
44,420000
45,425000
46,430000
47,435000
48,440000
49,445000
50,450000
51,455000
52,460000
53,465000
54,470000
55,475000
56,480000
57,485000
58,490000
59,495000
60,500000
61,505000
62,510000
63,515000
64,520000
65,525000
66,530000
67,535000
68,540000
69,545000
70,550000
71,555000
72,560000
73,565000
74,570000
75,575000
76,580000
77,585000
78,590000
79,595000
80,600000
81,605000
82,610000
83,615000
84,620000
85,625000
86,630000
87,635000
88,640000
89,645000
90,650000
91,655000
92,660000
93,665000
94,670000
95,675000
96,680000
97,685000
98,690000
99,695000
100,700000
